+-----------+------+--------+-------+
| series id | year | period | value |
|  WPU0571  | 2014 |  M07   | 299.7 |
|  WPU0571  | 2014 |  M06   | 306.1 |
|  WPU0571  | 2014 |  M05   | 301.3 |
|  WPU0571  | 2014 |  M04   | 305.6 |
|  WPU0571  | 2014 |  M03   | 290.1 |
|  WPU0571  | 2014 |  M02   | 276.9 |
|  WPU0571  | 2014 |  M01   | 271.1 |
|  WPU0571  | 2013 |  M12   | 268.8 |
|  WPU0571  | 2013 |  M11   | 269.6 |
|  WPU0571  | 2013 |  M10   | 285.0 |
|  WPU0571  | 2013 |  M09   | 299.4 |
|  WPU0571  | 2013 |  M08   | 304.9 |
|  WPU0571  | 2013 |  M07   | 298.4 |
|  WPU0571  | 2013 |  M06   | 302.5 |
|  WPU0571  | 2013 |  M05   | 305.0 |
|  WPU0571  | 2013 |  M04   | 297.2 |
|  WPU0571  | 2013 |  M03   | 303.8 |
|  WPU0571  | 2013 |  M02   | 301.9 |
|  WPU0571  | 2013 |  M01   | 275.1 |
|  WPU0571  | 2012 |  M12   | 271.1 |
|  WPU0571  | 2012 |  M11   | 281.5 |
|  WPU0571  | 2012 |  M10   | 318.7 |
|  WPU0571  | 2012 |  M09   | 332.1 |
|  WPU0571  | 2012 |  M08   | 312.0 |
|  WPU0571  | 2012 |  M07   | 288.6 |
|  WPU0571  | 2012 |  M06   | 296.8 |
|  WPU0571  | 2012 |  M05   | 312.6 |
|  WPU0571  | 2012 |  M04   | 327.2 |
|  WPU0571  | 2012 |  M03   | 318.2 |
|  WPU0571  | 2012 |  M02   | 296.6 |
|  WPU0571  | 2012 |  M01   | 281.8 |
|  WPU0571  | 2011 |  M12   | 272.5 |
|  WPU0571  | 2011 |  M11   | 281.7 |
|  WPU0571  | 2011 |  M10   | 290.0 |
|  WPU0571  | 2011 |  M09   | 305.7 |
|  WPU0571  | 2011 |  M08   | 297.6 |
|  WPU0571  | 2011 |  M07   | 313.1 |
|  WPU0571  | 2011 |  M06   | 313.3 |
|  WPU0571  | 2011 |  M05   | 343.8 |
|  WPU0571  | 2011 |  M04   | 321.9 |
|  WPU0571  | 2011 |  M03   | 296.2 |
|  WPU0571  | 2011 |  M02   | 259.0 |
|  WPU0571  | 2011 |  M01   | 253.0 |
|  WPU0571  | 2010 |  M12   | 241.0 |
|  WPU0571  | 2010 |  M11   | 232.8 |
|  WPU0571  | 2010 |  M10   | 229.6 |
|  WPU0571  | 2010 |  M09   | 219.1 |
|  WPU0571  | 2010 |  M08   | 224.5 |
|  WPU0571  | 2010 |  M07   | 220.5 |
|  WPU0571  | 2010 |  M06   | 219.7 |
|  WPU0571  | 2010 |  M05   | 230.2 |
|  WPU0571  | 2010 |  M04   | 232.0 |
|  WPU0571  | 2010 |  M03   | 225.4 |
|  WPU0571  | 2010 |  M02   | 205.0 |
|  WPU0571  | 2010 |  M01   | 223.4 |
|  WPU0571  | 2009 |  M12   | 203.3 |
|  WPU0571  | 2009 |  M11   | 208.5 |
|  WPU0571  | 2009 |  M10   | 194.4 |
|  WPU0571  | 2009 |  M09   | 198.0 |
|  WPU0571  | 2009 |  M08   | 209.6 |
|  WPU0571  | 2009 |  M07   | 188.1 |
|  WPU0571  | 2009 |  M06   | 206.8 |
|  WPU0571  | 2009 |  M05   | 175.5 |
|  WPU0571  | 2009 |  M04   | 151.9 |
|  WPU0571  | 2009 |  M03   | 135.0 |
|  WPU0571  | 2009 |  M02   | 138.0 |
|  WPU0571  | 2009 |  M01   | 132.1 |
+-----------+------+--------+-------+
