+-----------+------+--------+-------+
| series id | year | period | value |
+-----------+------+--------+-------+
|  WPU0571  | 2018 |  M04   | 202.0 |
|  WPU0571  | 2018 |  M03   | 190.4 |
|  WPU0571  | 2018 |  M02   | 190.5 |
|  WPU0571  | 2018 |  M01   | 187.7 |
|  WPU0571  | 2017 |  M12   | 179.4 |
|  WPU0571  | 2017 |  M11   | 185.8 |
|  WPU0571  | 2017 |  M10   | 175.4 |
|  WPU0571  | 2017 |  M09   | 187.2 |
|  WPU0571  | 2017 |  M08   | 169.3 |
|  WPU0571  | 2017 |  M07   | 160.0 |
|  WPU0571  | 2017 |  M06   | 162.5 |
|  WPU0571  | 2017 |  M05   | 163.5 |
|  WPU0571  | 2017 |  M04   | 176.2 |
|  WPU0571  | 2017 |  M03   | 165.6 |
|  WPU0571  | 2017 |  M02   | 166.7 |
|  WPU0571  | 2017 |  M01   | 166.4 |
|  WPU0571  | 2016 |  M12   | 155.2 |
|  WPU0571  | 2016 |  M11   | 147.6 |
|  WPU0571  | 2016 |  M10   | 160.5 |
|  WPU0571  | 2016 |  M09   | 152.0 |
|  WPU0571  | 2016 |  M08   | 149.0 |
|  WPU0571  | 2016 |  M07   | 157.1 |
|  WPU0571  | 2016 |  M06   | 164.4 |
|  WPU0571  | 2016 |  M05   | 152.2 |
|  WPU0571  | 2016 |  M04   | 140.6 |
|  WPU0571  | 2016 |  M03   | 123.4 |
|  WPU0571  | 2016 |  M02   | 112.7 |
|  WPU0571  | 2016 |  M01   | 127.8 |
|  WPU0571  | 2015 |  M12   | 138.6 |
|  WPU0571  | 2015 |  M11   | 153.2 |
|  WPU0571  | 2015 |  M10   | 159.4 |
|  WPU0571  | 2015 |  M09   | 166.7 |
|  WPU0571  | 2015 |  M08   | 199.3 |
|  WPU0571  | 2015 |  M07   | 215.0 |
|  WPU0571  | 2015 |  M06   | 214.3 |
|  WPU0571  | 2015 |  M05   | 210.2 |
|  WPU0571  | 2015 |  M04   | 179.1 |
|  WPU0571  | 2015 |  M03   | 179.9 |
|  WPU0571  | 2015 |  M02   | 159.8 |
|  WPU0571  | 2015 |  M01   | 150.7 |
|  WPU0571  | 2014 |  M12   | 194.3 |
|  WPU0571  | 2014 |  M11   | 231.2 |
|  WPU0571  | 2014 |  M10   | 257.0 |
|  WPU0571  | 2014 |  M09   | 285.3 |
|  WPU0571  | 2014 |  M08   | 295.4 |
